"","X.duration_ms.","X.key.","X.mode.","X.time_signature.","X.acousticness.","X.danceability.","X.energy.","X.instrumentalness.","X.liveliness.","X.loudness.","X.speechiness.","X.valence.","X.tempo.","Country","Pop","Pop-Rock","R&B","Rap","Rock","Trap"
"X.duration_ms.",1,-0.0151767465936282,-0.0280385244384974,0.10469933293147,-0.0926377003765515,-0.109121987812103,0.0495369699027613,0.0143525050206745,-0.0473078922019208,0.0722439123546134,-0.129414587408835,-0.169235209523991,0.00340545674462867,-0.0232352235295997,-0.052526207978584,0.00380552719645354,0.0536477604109186,0.00677887005030089,0.117562268945878,-0.0533101035928609
"X.key.",-0.0151767465936282,1,-0.164027443110926,0.00204449476173187,-0.0212652746737641,0.00820637304868855,0.0385276471651716,-0.0139731046041757,-7.60640010804248e-05,0.0180636063653233,0.0306401793122493,0.0401370003510602,-0.0194398464544669,-0.019555993900257,0.00601350044205741,-0.00250555302726666,-0.00362167651968665,0.0209294560000109,-0.016731502351953,-0.0183807954191084
"X.mode.",-0.0280385244384974,-0.164027443110926,1,-0.0264101295602922,0.0652305061658046,-0.114641236779921,-0.0480366892653331,0.0262020684443566,-0.0181246618411145,-0.0427799905704822,-0.108896829905256,-0.0155802827211937,0.0228216026274969,0.192715474991291,-0.0379622490135295,0.036584079386832,-0.126548598735415,-0.16842370986826,0.163925645421271,-0.0800508249322809
"X.time_signature.",0.10469933293147,0.00204449476173187,-0.0264101295602922,1,-0.155040009654264,0.173985287479809,0.166854612684231,-0.0573417133604432,-0.0318432074930251,0.165737429359832,-0.0130617951850517,0.099530976550424,0.0385299910652237,-1.45233373384187e-05,-0.0318561861198171,0.00170705628594117,-0.00762218797709341,0.0564372900004191,-0.00569462143923917,0.0403759240151212
"X.acousticness.",-0.0926377003765515,-0.0212652746737641,0.0652305061658046,-0.155040009654264,1,-0.230050434771173,-0.606660907198221,0.112015205856703,-0.0220413113681778,-0.500481551963166,0.0147346859618916,-0.203451439472193,-0.151245569000325,0.0329471070439942,0.0195479430073869,-0.0809573330869322,0.0252519972666029,-0.103228071825659,-0.00150927791889747,-0.0780708813494085
"X.danceability.",-0.109121987812103,0.00820637304868855,-0.114641236779921,0.173985287479809,-0.230050434771173,1,0.100232356132128,-0.16270499532514,-0.0560341011563229,0.18452536578362,0.231264479056833,0.328387998056966,-0.0841704296391632,-0.11780568334458,-0.0182442627789091,-0.102321094678297,0.0336922861177139,0.365289750668659,-0.314236829544948,0.277676036841568
"X.energy.",0.0495369699027613,0.0385276471651716,-0.0480366892653331,0.166854612684231,-0.606660907198221,0.100232356132128,1,-0.0816992822622609,0.1312857904699,0.724020167885936,0.00240075530355023,0.419370185887969,0.156164717444635,0.0451339403650879,-0.0073548815291065,0.0978070385817678,-0.0983242179954366,0.0495833334297042,0.0412892028047454,-0.0624363133832825
"X.instrumentalness.",0.0143525050206745,-0.0139731046041757,0.0262020684443566,-0.0573417133604432,0.112015205856703,-0.16270499532514,-0.0816992822622609,1,0.0555763065056573,-0.237613965705427,-0.0851081687367913,-0.0619539521991587,0.000362030091545401,-0.0620023596412705,-0.0218525791043575,-0.017735937111629,-0.0502500353602221,-0.111797060916397,0.175027416094029,-0.0506929040925881
"X.liveliness.",-0.0473078922019208,-7.60640010804248e-05,-0.0181246618411145,-0.0318432074930251,-0.0220413113681778,-0.0560341011563229,0.1312857904699,0.0555763065056573,1,-0.00337224841639996,0.188214752268466,0.069504411668457,-0.00910708033916466,-0.080287541515578,-0.0787956850892164,-0.0354442939825235,-0.0419309253441137,0.12379993705662,-0.010719096156276,0.00706188737972012
"X.loudness.",0.0722439123546134,0.0180636063653233,-0.0427799905704822,0.165737429359832,-0.500481551963166,0.18452536578362,0.724020167885936,-0.237613965705427,-0.00337224841639996,1,-0.095675061965123,0.231944336964039,0.120880106691831,0.0712196046254988,0.097978292661739,0.0584721434823229,0.00885158908934847,0.06018395373703,-0.133106113741806,0.0386540755165003
"X.speechiness.",-0.129414587408835,0.0306401793122493,-0.108896829905256,-0.0130617951850517,0.0147346859618916,0.231264479056833,0.00240075530355023,-0.0851081687367913,0.188214752268466,-0.095675061965123,1,0.0872306106699152,-0.0124162895339804,-0.224405521382364,-0.219434392285421,-0.126539814383397,-0.0350638972263247,0.571180235543696,-0.307210468039437,0.206597199291614
"X.valence.",-0.169235209523991,0.0401370003510602,-0.0155802827211937,0.099530976550424,-0.203451439472193,0.328387998056966,0.419370185887969,-0.0619539521991587,0.069504411668457,0.231944336964039,0.0872306106699152,1,0.0375287879534977,0.0557463049375091,0.0112145040732057,0.00440168694076907,-0.0592788142828785,-0.0334449266902925,0.022455275757657,-0.142789561618344
"X.tempo.",0.00340545674462867,-0.0194398464544669,0.0228216026274969,0.0385299910652237,-0.151245569000325,-0.0841704296391632,0.156164717444635,0.000362030091545401,-0.00910708033916466,0.120880106691831,-0.0124162895339804,0.0375287879534977,1,0.0454268638214379,-0.00158018395104898,0.062323100565098,-0.0505412040120925,-0.0296703590969722,0.0670830310653133,0.100372201362149
"Country",-0.0232352235295997,-0.019555993900257,0.192715474991291,-1.45233373384187e-05,0.0329471070439942,-0.11780568334458,0.0451339403650879,-0.0620023596412705,-0.080287541515578,0.0712196046254988,-0.224405521382364,0.0557463049375091,0.0454268638214379,1,-0.24757517657201,-0.0788943256400173,-0.156870644245646,-0.292631515002712,0.140059171129166,-0.139921043309682
"Pop",-0.052526207978584,0.00601350044205741,-0.0379622490135295,-0.0318561861198171,0.0195479430073869,-0.0182442627789091,-0.0073548815291065,-0.0218525791043575,-0.0787956850892164,0.097978292661739,-0.219434392285421,0.0112145040732057,-0.00158018395104898,-0.24757517657201,1,0.211287073398787,0.119485187214335,-0.376071692390384,-0.203783101734868,-0.187682142863551
"Pop-Rock",0.00380552719645354,-0.00250555302726666,0.036584079386832,0.00170705628594117,-0.0809573330869322,-0.102321094678297,0.0978070385817678,-0.017735937111629,-0.0354442939825235,0.0584721434823229,-0.126539814383397,0.00440168694076907,0.062323100565098,-0.0788943256400173,0.211287073398787,1,-0.0861250110014568,-0.175939757160568,0.315193125569927,-0.0898011064279899
"R&B",0.0536477604109186,-0.00362167651968665,-0.126548598735415,-0.00762218797709341,0.0252519972666029,0.0336922861177139,-0.0983242179954366,-0.0502500353602221,-0.0419309253441137,0.00885158908934847,-0.0350638972263247,-0.0592788142828785,-0.0505412040120925,-0.156870644245646,0.119485187214335,-0.0861250110014568,1,-0.0383285441158707,-0.227759324765625,-0.00312579461438011
"Rap",0.00677887005030089,0.0209294560000109,-0.16842370986826,0.0564372900004191,-0.103228071825659,0.365289750668659,0.0495833334297042,-0.111797060916397,0.12379993705662,0.06018395373703,0.571180235543696,-0.0334449266902925,-0.0296703590969722,-0.292631515002712,-0.376071692390384,-0.175939757160568,-0.0383285441158707,1,-0.407492338505867,0.421442585595873
"Rock",0.117562268945878,-0.016731502351953,0.163925645421271,-0.00569462143923917,-0.00150927791889747,-0.314236829544948,0.0412892028047454,0.175027416094029,-0.010719096156276,-0.133106113741806,-0.307210468039437,0.022455275757657,0.0670830310653133,0.140059171129166,-0.203783101734868,0.315193125569927,-0.227759324765625,-0.407492338505867,1,-0.198759673526313
"Trap",-0.0533101035928609,-0.0183807954191084,-0.0800508249322809,0.0403759240151212,-0.0780708813494085,0.277676036841568,-0.0624363133832825,-0.0506929040925881,0.00706188737972012,0.0386540755165003,0.206597199291614,-0.142789561618344,0.100372201362149,-0.139921043309682,-0.187682142863551,-0.0898011064279899,-0.00312579461438011,0.421442585595873,-0.198759673526313,1
